M_eV,omega_s,delta_phi_rad
0.03,29763514416313.13,0.6530233689394276
0.03,30458553406742.777,0.6682728014065109
0.03,31169822980411.496,0.6838783393387747
0.03,31897702154663.246,0.699848298527808
0.03,32642578797673.24,0.7161911889559651
0.03,33404849835132.44,0.7329157193311057
0.03,34184921461759.273,0.7500308017272461
0.03,34983209357750.33,0.7675455563335747
0.03,35800138910285.734,0.785469316314367
0.03,36636145440207.234,0.8038116327823939
0.03,37491674433988.93,0.8225822798884519
0.03,38367181781126.484,0.8417912600297764
0.03,39263134017068.4,0.8614488091800516
0.03,40180008571820.91,0.8815654023439005
0.03,41118294024358.28,0.9021517591387481
0.03,42078490362973.984,0.92321884950703
0.03,43061109251711.65,0.944777899561794
0.03,44066674303017.77,0.9668403975688091
0.03,45095721356761.53,0.9894181000683712
0.03,46148798765769.44,1.012523038140047
0.03,47226467688029.54,1.0361675238137513
0.03,48329302385717.516,1.0603641566304989
0.03,49457890531206.39,1.0851258303563782
0.03,50612833520222.14,1.110465739853311
0.03,51794746792312.02,1.1363973881102565
0.03,53004260158796.836,1.1629345934386124
0.03,54242018138380.35,1.1900914968356209
0.03,55508680300598.1,1.217882569519772
0.03,56804921617284.29,1.246322620642127
0.03,58131432822247.13,1.2754268051777393
0.03,59488920779343.305,1.3052106320013546
0.03,60878108859147.555,1.3356899721516915
0.03,62299737324418.34,1.3668810672887124
0.03,63754563724564.93,1.398800538348388
0.03,65243363299326.35,1.4314653943995748
0.03,66766929391875.7,1.4648930417076877
0.03,68326073871574.055,1.4991012930100907
0.03,69921627566593.75,1.5341083770080222
0.03,71554440706645.75,1.5699329480802107
0.03,73225383376045.27,1.6065940962233163
0.03,74935345977357.4,1.6441113572244987
0.03,76685239705870.25,1.682504723071548
0.03,78475997035146.23,1.7217946526060735
0.03,80308572213915.2,1.7620020824255367
0.03,82183941774568.06,1.8031484380398035
0.03,84103105053526.05,1.8452556452882554
0.03,86067084723761.58,1.8883461420235068
0.03,88076927339754.52,1.9324428900679644
0.03,90133703895174.2,1.9775693874495923
0.03,92238510393584.58,2.02374968092341
0.03,94392468432476.83,2.0710083787854017
0.03,96596725800938.42,2.1193706639856136
0.03,98852457091282.8,2.168862307547551
0.03,101160864324958.08,2.2195096823008686
0.03,103523177593073.78,2.2713397769347776
0.03,105940655711885.0,2.3243802103796334
0.03,108414586893583.72,2.3786592465243612
0.03,110946289432752.4,2.434205809277525
0.03,113537112408852.0,2.4910494979801916
0.03,116188436405110.14,2.549220603178625
0.03,118901674244198.98,2.608750122765352
0.03,121678271741092.3,2.669669778497145
0.03,124519708473503.19,2.732012032898735
0.03,127427498570313.2,2.79581010656126
0.03,130403191518412.89,2.861097995844668
0.03,133448372988383.56,2.9279104909935016
0.03,136564665679460.69,2.9962831946757364
0.03,139753730184229.25,3.066252540954538
0.03,143017265873508.78,3.1378558147029936
0.03,146357011801907.97,3.2111311714723416
0.03,149774747634520.0,3.2861176578240356
0.03,153272294595261.2,3.3628552321366723
0.03,156851516437355.1,3.441384785898801
0.03,160514320436476.47,3.5217481654988947
0.03,164262658407093.34,3.6039881945243053
0.03,168098527742536.53,3.688148696580797
0.03,172023972479359.9,3.7742745186450413
0.03,176041084386555.25,3.862411554962419
0.03,180152004080202.38,3.9526067715028934
0.03,184358922164148.6,4.044908230987968
0.03,188664080397325.44,4.139365118502083
0.03,193069772888324.56,4.236027767702089
0.03,197578347317869.53,4.334947687638759
0.03,202192206189835.56,4.436177590204665
0.03,206913808111479.03,4.539771418222924
0.03,211745669103571.2,4.645784374192049
0.03,216690363941118.1,4.754272949701885
0.03,221750527525392.94,4.86529495553654
0.03,226928856288008.56,4.9789095524802995
0.03,232228109627772.94,5.095177282842806
0.03,237651111381107.75,5.214160102720626
0.03,243200751326794.97,5.335921415012
0.03,248879986725866.72,5.460526103202626
0.03,254691843897454.0,5.5880405659404175
0.03,260639419831434.72,5.718532752417644
0.03,266725883838740.25,5.85207219857931
0.03,272954479240200.2,5.988730064177086
0.03,279328525094824.75,6.128579170688512
0.03,285851417968446.56,6.271694040121702
0.03,292526633743664.75,6.418150934726238
0.03,299357729472049.0,6.568027897631272
0.03,306348345269608.4,6.72140479443286
0.03,313502206256511.25,6.878363355752191
0.03,320823124542107.4,7.038987220787765
0.03,328315001256305.4,7.203361981884624
0.03,335981828628378.75,7.371575230144188
0.03,343827692114331.4,7.543716602099492
0.03,351856772573926.6,7.719877827480084
0.03,360073348498562.0,7.900152778092473
0.03,368481798291167.6,8.084637517842017
0.03,377086602599345.1,8.27343035392292
0.03,385892346702989.9,8.466631889203608
0.03,394903722957669.3,8.664345075835433
0.03,404125533295059.25,8.866675270113236
0.03,413562691781769.75,9.073730288617009
0.03,423220227237928.0,9.285620465664643
0.03,433103285916900.1,9.502458712106103
0.03,443217134247608.5,9.724360575490948
0.03,453567161640870.25,9.951444301640528
